arquivo,habilidade,temas,nivel_bloom,bloom_divergente,dificuldade,natureza,formato,aprovada,iteracoes,veredicto,garantia,nota_minima_critico,tipos,sem_conferencia
ciclo-068_EM13MAT502_aprovada.md,EM13MAT502,funcao_quadratica,analisar,False,media,aplicada,discursiva,True,1,aprovado,conferido,3,propriedade=aprovado; funcao/valor=aprovado,
ciclo-069_EM13MAT508_aprovada.md,EM13MAT508,progressao_geometrica; funcao_exponencial,analisar,False,media,teorica,discursiva,True,1,aprovado,conferido,3,propriedade=aprovado; funcao/dominio=aprovado; funcao/valor=aprovado; funcao/valor=aprovado; progressao/termo=aprovado,
ciclo-070_EM13MAT304_aprovada.md,EM13MAT304,funcao_exponencial,analisar,False,dificil,aplicada,discursiva,True,1,aprovado,conferido,4,funcao/valor=aprovado; funcao/valor=aprovado; funcao/valor=aprovado; funcao/valor=aprovado; equacao=aprovado; funcao/crescimento=aprovado,
ciclo-071_EM13MAT401_aprovada.md,EM13MAT401,funcao_afim,aplicar,False,dificil,teorica,discursiva,True,1,aprovado,conferido,4,propriedade=aprovado; funcao/zeros=aprovado; propriedade=aprovado; funcao/zeros=aprovado,
ciclo-072_EM13MAT404_aprovada.md,EM13MAT404,funcao_trigonometrica,entender,False,dificil,aplicada,discursiva,True,1,aprovado,conferido,3,funcao/periodo=aprovado; funcao/dominio=aprovado; funcao/imagem=aprovado,
ciclo-073_EM13MAT502_aprovada.md,EM13MAT502,funcao_quadratica,criar,False,dificil,teorica,discursiva,True,1,aprovado,conferido,4,propriedade=aprovado,
ciclo-074_EM13MAT508_aprovada.md,EM13MAT508,progressao_geometrica; funcao_exponencial,aplicar,False,dificil,aplicada,discursiva,True,2,aprovado,conferido,3,equacao=aprovado; propriedade=aprovado; funcao/valor=aprovado; funcao/valor=aprovado; funcao/dominio=aprovado,
ciclo-075_EM13MAT304_aprovada.md,EM13MAT304,funcao_exponencial,analisar,False,facil,teorica,multipla_escolha,True,1,aprovado,conferido,3,funcao/valor=aprovado; funcao/valor=aprovado,
ciclo-076_EM13MAT401_aprovada.md,EM13MAT401,funcao_afim,aplicar,False,facil,aplicada,multipla_escolha,True,1,aprovado,conferido,4,funcao/valor=aprovado; funcao/valor=aprovado; funcao/crescimento=aprovado; funcao/crescimento=aprovado,
ciclo-077_EM13MAT404_aprovada.md,EM13MAT404,funcao_trigonometrica,entender,False,facil,teorica,multipla_escolha,True,1,aprovado,conferido,3,funcao/dominio=aprovado; funcao/periodo=aprovado; funcao/imagem=aprovado,
ciclo-078_EM13MAT502_aprovada.md,EM13MAT502,funcao_quadratica,analisar,False,facil,aplicada,multipla_escolha,True,1,aprovado,conferido,4,propriedade=aprovado,
ciclo-079_EM13MAT508_aprovada.md,EM13MAT508,progressao_geometrica; funcao_exponencial,analisar,False,facil,teorica,multipla_escolha,True,1,aprovado,conferido,3,funcao/dominio=aprovado; funcao/valor=aprovado; propriedade=aprovado,
ciclo-080_EM13MAT304_aprovada.md,EM13MAT304,funcao_exponencial,aplicar,False,media,aplicada,multipla_escolha,True,2,aprovado,conferido,4,equacao=aprovado; funcao/valor=aprovado; funcao/crescimento=aprovado,
ciclo-081_EM13MAT401_aprovada.md,EM13MAT401,funcao_afim,entender,False,media,teorica,multipla_escolha,True,2,aprovado,conferido,4,funcao/valor=aprovado; funcao/valor=aprovado; propriedade=aprovado; propriedade=aprovado,
ciclo-082_EM13MAT404_aprovada.md,EM13MAT404,funcao_trigonometrica,analisar,False,media,aplicada,multipla_escolha,True,1,aprovado,conferido,3,funcao/periodo=aprovado; funcao/dominio=aprovado; funcao/imagem=aprovado,
ciclo-083_EM13MAT502_aprovada.md,EM13MAT502,funcao_quadratica,criar,False,media,teorica,multipla_escolha,True,3,aprovado,conferido,3,propriedade=aprovado,
ciclo-084_EM13MAT508_aprovada.md,EM13MAT508,progressao_geometrica; funcao_exponencial,aplicar,False,media,aplicada,multipla_escolha,True,1,aprovado,conferido,3,progressao/termo=aprovado; funcao/valor=aprovado; funcao/dominio=aprovado,
ciclo-085_EM13MAT304_aprovada.md,EM13MAT304,funcao_exponencial,aplicar,False,dificil,teorica,multipla_escolha,True,1,aprovado,conferido,3,equacao=aprovado; funcao/crescimento=aprovado; funcao/dominio=aprovado,
ciclo-086_EM13MAT401_aprovada.md,EM13MAT401,funcao_afim,entender,False,dificil,aplicada,multipla_escolha,True,1,aprovado,conferido,3,propriedade=aprovado; propriedade=aprovado; equacao=aprovado; funcao/valor=aprovado,
ciclo-087_EM13MAT404_aprovada.md,EM13MAT404,funcao_trigonometrica,entender,False,dificil,teorica,multipla_escolha,True,2,aprovado,conferido,4,funcao/dominio=aprovado; funcao/imagem=aprovado; funcao/periodo=aprovado,
ciclo-088_EM13MAT502_aprovada.md,EM13MAT502,funcao_quadratica,analisar,False,dificil,aplicada,multipla_escolha,True,1,aprovado,conferido,4,propriedade=aprovado,
ciclo-089_EM13MAT508_aprovada.md,EM13MAT508,progressao_geometrica; funcao_exponencial,aplicar,False,dificil,teorica,multipla_escolha,True,1,aprovado,conferido,4,equacao=aprovado; progressao/termo=aprovado; funcao/valor=aprovado; funcao/dominio=aprovado,
